run_id,report_id,method,ablation,industry,sub_industry,scope_key,total_preprocess_runtime_seconds,timestamp
45cee78a-d37b-427d-ba01-2055bf4bb4c7,85a058fe-f0c4-492c-a0c0-7a2bbcae74d7,M0,,Services,Professional & Commercial Services,Professional & Commercial Services,0.2695869179988222,2026-03-31T22:40:38.578249+11:00
34305a1b-1459-4f38-89dd-4003e26c3c83,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,M1,A0,Services,Professional & Commercial Services,Professional & Commercial Services,540.70777305,2026-04-01T10:45:26.930270+11:00
cf117038-a536-4ed4-a827-804d9efc66ee,0a14ecd9-9f0f-4ff3-80e1-19cca1198a7e,M0,,Services,Professional & Commercial Services,Professional & Commercial Services,0.09806599800003823,2026-04-01T10:54:16.790352+11:00
43a3d5c6-f1b1-4076-8f68-864db0403681,db6ecf05-1269-4e92-9b3b-eb2f2baad9e0,M1,A0,Technology & Communications,Hardware,Hardware,310.405535913,2026-04-01T11:06:38.151982+11:00
f66fe13c-a3c6-434b-8f19-0ea4ec055550,db6ecf05-1269-4e92-9b3b-eb2f2baad9e0,M0,,Technology & Communications,Hardware,Hardware,1.2238863080001465,2026-04-01T11:12:42.724047+11:00
93fe1075-5281-4f6e-806a-2122d266bc6a,f23f7eb1-1f50-4558-b917-a2eed5198550,M1,A0,Extractives & Minerals Processing,Metals & Mining,Metals & Mining,309.2618356610001,2026-04-02T13:44:14.678727+11:00
21547bee-87ad-464b-9272-10feb6a2e564,f23f7eb1-1f50-4558-b917-a2eed5198550,M0,,Extractives & Minerals Processing,Metals & Mining,Metals & Mining,0.921019546000025,2026-04-02T13:58:55.814732+11:00
c19cc3fa-374f-4c4e-931f-195f5b603c61,106c05b9-8088-4a05-b281-694c146c91d0,M1,A0,Extractives & Minerals Processing,Metals & Mining,Metals & Mining,558.2183403289996,2026-04-02T14:29:55.492336+11:00
9a051553-200b-47bf-96c3-c52b56e8f120,106c05b9-8088-4a05-b281-694c146c91d0,M0,,Extractives & Minerals Processing,Metals & Mining,Metals & Mining,2.209306185000969,2026-04-02T16:43:33.851089+11:00
e5cac0ea-2994-4620-afe9-6bc90e02edbf,67c29e71-5024-4a1c-9452-d44fba2f6ce0,M1,A0,Financials,Insurance,Insurance,22.24661839199871,2026-04-02T17:20:08.289067+11:00
769b925e-a60b-48a3-835f-5198cc5e3195,0f329818-5c69-4f81-9dc2-a31415212f86,M1,A0,Financials,Investment Banking & Brokerage,Investment Banking & Brokerage,587.6802835559993,2026-04-02T17:40:14.129929+11:00
30eeeed0-abbe-4854-aa68-2aad2bc26511,01973963-c558-4fee-8571-257caa21c8b1,M1,A0,Financials,Commercial Banks,Commercial Banks,732.4922635610001,2026-04-02T17:41:48.490467+11:00
7b221fc6-de1d-41f6-965c-53e7b5bde7b6,d0546854-e331-4ec6-b1db-ade1e55f106d,M1,A0,Health Care,Health Care Delivery,Health Care Delivery,1085.139262306002,2026-04-02T18:41:59.440995+11:00
302e9460-0f01-480a-bd55-22dc4d0e0085,a92a8494-9b24-4a8d-b43a-7f484319937b,M1,A0,Health Care,Health Care Delivery,Health Care Delivery,1141.825670948001,2026-04-02T18:43:34.115389+11:00
ba63b2bf-c9a1-4c15-a907-002c1532fdde,09e9db8c-998b-46b0-b786-4b61f157e65d,M1,A0,Health Care,Medical Equipment & Supplies,Medical Equipment & Supplies,1189.713970916997,2026-04-02T18:44:59.507262+11:00
edb95500-6058-44b5-8ca6-be4a0a73e41d,11fc0e9f-9146-44fc-bb91-f41402325ee0,M1,A0,Food & Beverage,Non-Alcoholic Beverages,Non-Alcoholic Beverages,2477.319894735,2026-04-07T16:07:02.077082+10:00
b7b84521-b2bb-4fd7-b3a0-3b37e0730b74,2be9d6e7-65c4-4bf0-a930-9dabb1957ba0,M1,A0,Infrastructure,Gas Utilities & Distributors,Gas Utilities & Distributors,2393.863483652,2026-04-07T16:07:35.001756+10:00
3bb120e8-e881-4c16-9bc9-8ff0ac848085,ea2ee64e-de07-42e1-86ed-196596d84555,M1,A0,Food & Beverage,Restaurants,Restaurants,2671.2664086000004,2026-04-07T16:09:15.047392+10:00
42d74db8-b44b-4c9d-b797-732243a4f11d,b5ea1eac-abad-4813-b4d6-7819c41f3e99,M1,A0,Renewable Resources & Alternative Energy,Wind Technology & Project Developers,Wind Technology & Project Developers,2618.162157302,2026-04-07T16:11:47.799914+10:00
ec709d66-a8a2-4227-aed0-f95204e43b5d,fbef90a1-0131-4707-a4cd-39be8c15b96c,M1,A0,Renewable Resources & Alternative Energy,Solar Technology & Project Developers,Solar Technology & Project Developers,2561.809769315,2026-04-07T16:11:53.481448+10:00
